GC took 10.491853ms, TotalAlloc: 515359648 bytes, TotalFree: 508824 bytes, TotalFreed: 508824 bytes, HeapIdle: 2169856 bytes
GC took 14.086554ms, TotalAlloc: 527418352 bytes, TotalFree: 517344 bytes, TotalFreed: 517344 bytes, HeapIdle: 164387744 bytes
GC took 14.441437ms, TotalAlloc: 539239168 bytes, TotalFree: 525488 bytes, TotalFreed: 525488 bytes, HeapIdle: 152474752 bytes
GC took 14.882475ms, TotalAlloc: 551264040 bytes, TotalFree: 539112 bytes, TotalFreed: 539112 bytes, HeapIdle: 140357984 bytes
GC took 14.355465ms, TotalAlloc: 563215992 bytes, TotalFree: 547152 bytes, TotalFreed: 547152 bytes, HeapIdle: 128314208 bytes
GC took 14.557069ms, TotalAlloc: 575236480 bytes, TotalFree: 555672 bytes, TotalFreed: 555672 bytes, HeapIdle: 116201664 bytes
GC took 14.533586ms, TotalAlloc: 587236512 bytes, TotalFree: 570824 bytes, TotalFreed: 570824 bytes, HeapIdle: 104109536 bytes
GC took 14.267222ms, TotalAlloc: 599127552 bytes, TotalFree: 584728 bytes, TotalFreed: 584728 bytes, HeapIdle: 92125856 bytes
GC took 14.420108ms, TotalAlloc: 611129472 bytes, TotalFree: 598064 bytes, TotalFreed: 598064 bytes, HeapIdle: 80031680 bytes
GC took 14.719809ms, TotalAlloc: 623168032 bytes, TotalFree: 609560 bytes, TotalFreed: 609560 bytes, HeapIdle: 67901152 bytes
GC took 14.270037ms, TotalAlloc: 635191488 bytes, TotalFree: 620480 bytes, TotalFreed: 620480 bytes, HeapIdle: 55785504 bytes
GC took 18.697287ms, TotalAlloc: 647137272 bytes, TotalFree: 630624 bytes, TotalFreed: 630624 bytes, HeapIdle: 43747936 bytes
GC took 14.104599ms, TotalAlloc: 659105480 bytes, TotalFree: 641608 bytes, TotalFreed: 641608 bytes, HeapIdle: 31687360 bytes
GC took 14.21177ms, TotalAlloc: 671163296 bytes, TotalFree: 655432 bytes, TotalFreed: 655432 bytes, HeapIdle: 19537440 bytes
GC took 14.592708ms, TotalAlloc: 683167136 bytes, TotalFree: 670328 bytes, TotalFreed: 670328 bytes, HeapIdle: 7441376 bytes
GC took 18.57654ms, TotalAlloc: 695083472 bytes, TotalFree: 680072 bytes, TotalFreed: 680072 bytes, HeapIdle: 227580448 bytes
GC took 18.791138ms, TotalAlloc: 707245384 bytes, TotalFree: 693480 bytes, TotalFreed: 693480 bytes, HeapIdle: 215326592 bytes
GC took 18.668379ms, TotalAlloc: 719215992 bytes, TotalFree: 709080 bytes, TotalFreed: 709080 bytes, HeapIdle: 203263776 bytes
GC took 18.602026ms, TotalAlloc: 731273856 bytes, TotalFree: 723688 bytes, TotalFreed: 723688 bytes, HeapIdle: 191113248 bytes
GC took 18.641809ms, TotalAlloc: 743293064 bytes, TotalFree: 735400 bytes, TotalFreed: 735400 bytes, HeapIdle: 179002112 bytes
GC took 18.686768ms, TotalAlloc: 755296992 bytes, TotalFree: 744400 bytes, TotalFreed: 744400 bytes, HeapIdle: 166905760 bytes
GC took 18.657981ms, TotalAlloc: 767250384 bytes, TotalFree: 756200 bytes, TotalFreed: 756200 bytes, HeapIdle: 154860704 bytes
GC took 18.868852ms, TotalAlloc: 779275480 bytes, TotalFree: 767696 bytes, TotalFreed: 767696 bytes, HeapIdle: 142742848 bytes
GC took 18.952817ms, TotalAlloc: 791367360 bytes, TotalFree: 779200 bytes, TotalFreed: 779200 bytes, HeapIdle: 129510144 bytes
GC took 18.602195ms, TotalAlloc: 803379976 bytes, TotalFree: 792288 bytes, TotalFreed: 792288 bytes, HeapIdle: 117405184 bytes
GC took 18.658379ms, TotalAlloc: 815404880 bytes, TotalFree: 804416 bytes, TotalFreed: 804416 bytes, HeapIdle: 105287712 bytes
GC took 20.187938ms, TotalAlloc: 827454824 bytes, TotalFree: 815304 bytes, TotalFreed: 815304 bytes, HeapIdle: 93145696 bytes
GC took 18.604801ms, TotalAlloc: 839447472 bytes, TotalFree: 824296 bytes, TotalFreed: 824296 bytes, HeapIdle: 81061760 bytes
GC took 18.68513ms, TotalAlloc: 851389272 bytes, TotalFree: 838560 bytes, TotalFreed: 838560 bytes, HeapIdle: 69027616 bytes
GC took 18.593401ms, TotalAlloc: 863352912 bytes, TotalFree: 847008 bytes, TotalFreed: 847008 bytes, HeapIdle: 56972000 bytes
GC took 19.089793ms, TotalAlloc: 875446312 bytes, TotalFree: 855088 bytes, TotalFreed: 855088 bytes, HeapIdle: 44786304 bytes
GC took 18.765501ms, TotalAlloc: 887448552 bytes, TotalFree: 870880 bytes, TotalFreed: 870880 bytes, HeapIdle: 32692192 bytes
GC took 18.905961ms, TotalAlloc: 899542792 bytes, TotalFree: 884144 bytes, TotalFreed: 884144 bytes, HeapIdle: 20506272 bytes
GC took 18.765293ms, TotalAlloc: 911418784 bytes, TotalFree: 897600 bytes, TotalFreed: 897600 bytes, HeapIdle: 8538432 bytes
GC took 21.668286ms, TotalAlloc: 923526544 bytes, TotalFree: 907440 bytes, TotalFreed: 907440 bytes, HeapIdle: 134579328 bytes
GC took 21.88387ms, TotalAlloc: 935508504 bytes, TotalFree: 919312 bytes, TotalFreed: 919312 bytes, HeapIdle: 122505376 bytes
GC took 22.581543ms, TotalAlloc: 947616928 bytes, TotalFree: 931920 bytes, TotalFreed: 931920 bytes, HeapIdle: 110304736 bytes
GC took 21.39977ms, TotalAlloc: 959713136 bytes, TotalFree: 943864 bytes, TotalFreed: 943864 bytes, HeapIdle: 98116832 bytes
GC took 21.337658ms, TotalAlloc: 971613136 bytes, TotalFree: 955688 bytes, TotalFreed: 955688 bytes, HeapIdle: 86124672 bytes
GC took 21.395058ms, TotalAlloc: 983557664 bytes, TotalFree: 964184 bytes, TotalFreed: 964184 bytes, HeapIdle: 74088064 bytes
GC took 21.47261ms, TotalAlloc: 995535224 bytes, TotalFree: 973432 bytes, TotalFreed: 973432 bytes, HeapIdle: 62018240 bytes
GC took 21.354202ms, TotalAlloc: 1007501856 bytes, TotalFree: 985712 bytes, TotalFreed: 985712 bytes, HeapIdle: 49959744 bytes
GC took 21.430635ms, TotalAlloc: 1019464440 bytes, TotalFree: 997728 bytes, TotalFreed: 997728 bytes, HeapIdle: 37905088 bytes
GC took 21.625773ms, TotalAlloc: 1031329184 bytes, TotalFree: 1009416 bytes, TotalFreed: 1009416 bytes, HeapIdle: 25948224 bytes
GC took 21.334297ms, TotalAlloc: 1043347760 bytes, TotalFree: 1020472 bytes, TotalFreed: 1020472 bytes, HeapIdle: 13837120 bytes
GC took 21.578521ms, TotalAlloc: 1055458568 bytes, TotalFree: 1032912 bytes, TotalFreed: 1032912 bytes, HeapIdle: 1634624 bytes
panic: runtime error: out of memory
